"Region/Country/Area","2005","2010","2015","2020"
"Afghanistan",87314,102276,339432,144098
"Africa",16040087,17806677,22860792,25389464
"Albania",64739,52784,52031,48810
"Algeria",197728,217268,239473,250378
"American Samoa",24233,23555,23513,23608
"Andorra",50298,52053,42264,45574
"Angola",62331,336367,632178,656434
"Anguilla",4684,5103,5471,5715
"Antigua and Barbuda",24741,26412,28082,29386
"Argentina",1674163,1805957,2086301,2281728
"Armenia",469189,211147,191199,190349
"Aruba",32540,34328,36114,53593
"Asia",53249787,66123640,77191249,85618502
"Australia",4878030,5882980,6729730,7685860
"Australia and New Zealand",5717982,6830423,7769466,9067584
"Austria",1127164,1274901,1483123,1738183
"Azerbaijan",301834,276901,264359,252228
"Bahamas",45531,54745,59241,63583
"Bahrain",404018,666406,722487,936094
"Bangladesh",1062270,1345546,1422179,2115408
"Barbados",30624,32825,34475,34869
"Belarus",1106982,1090378,1082905,1067090
"Belgium",1248733,1503806,1783488,2005479
"Belize",41438,46390,54615,62043
"Benin",248320,309225,366284,394276
"Bermuda",18108,18547,19212,19739
"Bhutan",40279,48420,51106,53612
"Bolivia (Plurin. State of)",107745,122846,143008,164121
"Bonaire, St. Eustatius & Saba",14399,20941,24571,26221
"Bosnia and Herzegovina",47287,38945,38597,36042
"Botswana",84661,94863,103053,110268
"Brazil",638582,592640,710304,1079708
"British Virgin Islands",15016,17076,19535,22164
"Brunei Darussalam",98441,100587,102733,111959
"Bulgaria",61074,76287,123803,184363
"Burkina Faso",597658,674438,704676,723989
"Burundi",192774,247321,298299,344767
"Cabo Verde",12700,14373,14924,15788
"Cambodia",114096,82028,73962,79341
"Cameroon",265503,291474,508346,579209
"Canada",6078985,6761226,7428657,8049323
"Caribbean",1275731,1338893,1501081,1605148
"Cayman Islands",20679,24062,26193,29242
"Central African Republic",96409,94685,81568,88546
"Central America",1378041,1751028,1860215,2302001
"Central Asia",5235877,5264938,5392792,5564042
"Chad",352130,417034,466968,547494
"Channel Islands",70941,77581,82307,84087
"Chile",276360,375388,639724,1645015
"China",678947,849861,978046,1039675
"China, Hong Kong SAR",2721235,2779950,2841113,2962492
"China, Macao SAR",279308,318506,376066,403490
"Colombia",106523,130309,159407,1905393
"Comoros",13209,12618,12555,12496
"Congo",318724,425173,390142,387606
"Cook Islands",3277,3769,4168,4579
"Costa Rica",358398,405779,411697,520729
"Croatia",579273,573248,561093,528056
"Cuba",11693,7373,4649,3024
"Cyprus",122849,188472,176693,190366
"Czechia",322540,398493,416454,540921
"Côte d’Ivoire",2265090,2366537,2470613,2564857
"Dem. People's Rep. Korea",40097,44010,48458,49549
"Dem. Rep. of the Congo",623009,589882,810018,952871
