"Region/Country/Area","Year","International migrant stock: Both sexes (number)","International migrant stock: Both sexes (% total population)","International migrant stock: Male (% total Population)","International migrant stock: Female (% total Population)","Total refugees and people in refugee-like situations (number)","Asylum seekers, including pending cases (number)","Other of concern to UNHCR (number)","Total population of concern to UNHCR (number)"
"Afghanistan",2005,87314,0.3,0.4,0.3,32,14,159551,159597
"Afghanistan",2010,102276,0.4,0.4,0.3,6434,30,1193523,1199987
"Afghanistan",2015,339432,1,1,1,225714,101,1195604,1421419
"Afghanistan",2020,144098,0.4,0.3,0.4,72290,178,2730389,2802857
"Africa",2005,16040087,1.8,1.9,1.6,NA,NA,NA,NA
"Africa",2010,17806677,1.7,1.8,1.6,NA,NA,NA,NA
"Africa",2015,22860792,1.9,2.1,1.8,4493139,1044031,11530138,17067308
"Africa",2020,25389464,1.9,2,1.8,6999300,617584,24919267,32536151
"Albania",2005,64739,2.1,2.1,2.1,56,35,1,92
"Albania",2010,52784,1.8,1.8,1.8,76,23,NA,99
"Albania",2015,52031,1.8,1.8,1.8,154,501,7443,8098
"Albania",2020,48810,1.7,1.7,1.7,129,2,3492,3623
"Algeria",2005,197728,0.6,0.6,0.5,94101,306,NA,94407
"Algeria",2010,217268,0.6,0.6,0.6,94144,304,NA,94448
"Algeria",2015,239473,0.6,0.6,0.6,94144,5892,NA,100036
"Algeria",2020,250378,0.6,0.6,0.5,97391,1859,NA,99250
"American Samoa",2005,24233,40.7,NA,NA,NA,NA,NA,NA
"American Samoa",2010,23555,42,NA,NA,NA,NA,NA,NA
"American Samoa",2015,23513,42.1,NA,NA,NA,NA,NA,NA
"American Samoa",2020,23608,42.8,NA,NA,NA,NA,NA,NA
"Andorra",2005,50298,63.8,NA,NA,NA,NA,NA,NA
"Andorra",2010,52053,61.6,NA,NA,NA,NA,NA,NA
"Andorra",2015,42264,54.2,NA,NA,NA,NA,NA,NA
"Andorra",2020,45574,59,NA,NA,NA,NA,NA,NA
"Angola",2005,62331,0.3,0.3,0.3,13984,885,45,14914
"Angola",2010,336367,1.4,1.4,1.5,15155,4241,NA,19396
"Angola",2015,632178,2.3,2.2,2.3,15555,30143,2887,45698
"Angola",2020,656434,2,2,2,25562,30288,62,55912
"Anguilla",2005,4684,37.6,NA,NA,NA,NA,NA,NA
"Anguilla",2010,5103,38,NA,NA,NA,NA,NA,NA
"Anguilla",2015,5471,38.3,NA,NA,NA,NA,NA,NA
"Anguilla",2020,5715,38.1,NA,NA,NA,NA,17,17
"Antigua and Barbuda",2005,24741,30.4,28.6,32,NA,NA,NA,NA
"Antigua and Barbuda",2010,26412,30,28,31.9,NA,NA,NA,NA
"Antigua and Barbuda",2015,28082,30,27.8,32,NA,10,NA,10
"Antigua and Barbuda",2020,29386,30,27.8,32.1,1,1,NA,2
"Argentina",2005,1674163,4.3,4.1,4.5,3074,825,2,3901
"Argentina",2010,1805957,4.4,4.2,4.6,3276,947,NA,4223
